"Product Id","Product Name","Short Description","Main Description Filename","Tab Titles"
"547465","Simply Eggnog Syrup - 1 Litre","Distinctive, opulent and delightful Egg Nog syrup, an amazing flavour twist for your coffee, cream soda, mocha, latte, smoothie or cocktail.","547465_maindesc.txt",""
"547467","Simply Black Forest Fruits Syrup - 1 Litre","Give a fruity twist to your beverage or dessert with this sweet delicious flavouring - add to mocha for black forest mochas","547467_maindesc.txt",""
"551261","Lotus Biscoff Squeezy Sauce 1KG","Squeezable Lotus sauce perfect for adding as a topping to your favorite hot beverage, desserts, waffles and ice creams.","551261_maindesc.txt",""
"546582","Sub Product 7","Sub Product 7","546582_maindesc.txt",""
"546583","Sub Product 8","Sub Product 8","546583_maindesc.txt",""
"546584","Sub Product 9","Sub Product 9","546584_maindesc.txt",""
"546585","Sub Product 10","Sub Product 10","546585_maindesc.txt",""
"547334","Biodegradable Wooden Cutlery","100% compostable and biodegradable birch wood cutlery, forks, knives spoons and stirrers.","547334_maindesc.txt",""
"548850","Jura GIGA 5 Coffee Machine","GIGA 5 sets a new standard in performance, aesthetics and perfection for the coffee machine segment. Professional technology has found its way into the homes of people who demand the highest standards.","548850_maindesc.txt",""
"538591","Jura GIGA X8 Gen 2 Coffee Machine","2018 New Jura Coffee Machine which sets new standards amongst Bean to Cup Machines. The Jura GIGA X8 Gen II combines unrivalled style with Swiss precision engineering to result in the most impressive Jura Bean to Cup Machine yet.","538591_maindesc.txt",""
"540985","Birchall FairTrade English Breakfast Tea Bags","String & Tagged - Birchall English Breakfast Tea Is A Unique, Masterful Blend, Closely Guarded By The Fifth Generation Of Birchall Grahams Family. This Is How Birchall English Breakfast Tea Gains Its Exceptional Brightness, Golden Colour And Strong Refres","540985_maindesc.txt",""
"537097","Simply Syrup - Gingerbread - 1 Ltr","Add A Real Rich Gingerbread Flavour To Your Beverage","537097_maindesc.txt",""
"547325","Sweetbird Cherry Syrup - 1 Litre","Unmistakable and distinctive. Worth trying with chocolate – did someone say Black Forest Gateau?....Vegetarian Suitable Cherry Coffee Syrup","547325_maindesc.txt",""
"531574","WMF Water Filter","WMF water filter for commercial coffee machines (For approx. 200 L) Change your filter, after display your machine, but but after Dreimonatiger use the latest engine (optimal after 2 months). Guaranteed to be the best, even coffee pleasure thanks to impro","531574_maindesc.txt",""
"531575","Puly Grind - Grinder Cleaning Crystals","Puly Grind Grinder Cleaning Crystals An Designed For Burrs Or Blades Of Your Coffee Grinder","531575_maindesc.txt",""
"531576","Pallo Steamy Wanda Cleaning Tool","Pallo Steamy Wanda Cleaning Tool","531576_maindesc.txt",""
"531577","Jura ENA 9 Black Aroma+","The Ena 9 Is Juras Slimmest Ever One Touch Speciality Household Coffee Machine. It Offers A Versatile And Flexible Selection Of Options To Please Even The Most Discerning Coffee Lovers Taste.","531577_maindesc.txt",""
"539517","Plastic Cups - Pint & Half Pint CE","Ce Marked Pint & Half Pint Cups - Perfect For Those Beverages That Need To Be Taken Outdoor. Ideal For Pubs, Bars, Festivals And General Outdoor Use","539517_maindesc.txt",""
"535781","Simply White Chocolate Frappe Mix 1.75 KG","Now One Of Our Best Selling Frappe Mixes - A New Launch Last Year And Already A Storming White Chocolate Tasting Success - 1.75 Kg","535781_maindesc.txt",""
"535676","Simply Syrups - Sugar Free Range - 1 Ltr","Check Out Our Range Of Sugar Free Simply Syrups...","535676_maindesc.txt",""
"537146","Seasonal Syrup Pack","Tis, The Season... To Refresh Those Menus - The Coffee Giants Are Already There, This Kit Gives You Three Amazing Flavours To Get You On Your Way!","537146_maindesc.txt",""
"547308","Sweetbird English Toffee Syrup - 1 Litre","It’s the perfect buttery, sticky, chewy sweet – put it in a drink and it adds heavenly niceness....Vegetarian Suitable English Toffee Coffee Syrup","547308_maindesc.txt",""
"531591","Puly Caff Cleaning Tablets For Egro, Etna, Solis Machines","Puly Caff Cleaning Tablets Available For Bean To Cup Machines - 100 X 1.35g","531591_maindesc.txt",""
"535338","Zuma Sweetbird Cookies & Cream Frappe Mix 2 KG","Winner Of 'Best New Product' Award At The SCAE World Of Coffee Show 2013 - Real Cookie Pieces In A Creamy Frappe Base","535338_maindesc.txt",""
"535340","Lavazza Grand Espresso Coffee Beans 6KG","6x1 Kilo Case - Vigorous, Creamy Coffee With An Intense Aroma","535340_maindesc.txt",""
"541091","Iberital Intenz Commercial Coffee Machine","The Iberital Intenz Is An Espresso Machine Made To Satisfy The Most Demanding Tastes. Designed To Withstand Intensive Use And Meet High Performance Expectations, The Iberital Intenz Is As Robust And Precise As It Is Sophisticated And Versatile.","541091_maindesc.txt",""
"538585","Aromo - COLOMBIAN - 62mm Senseo Compatible Coffee Pods","Aromo - Colombian - 62mm Senseo Compatible Coffee Pods X 100 - Senseo ® Coffee Pods Machines","538585_maindesc.txt",""
"535587","Cadburys One Chocolate 1KG","This unique version of cadburys can be made with milk or water! Swirl Into Hot Milk For A Delicious Taste Of Cadbury Drinking Chocolate However can be made with water!!","535587_maindesc.txt",""
"547457","Simply Christmas Pudding Syrup - 1 Litre","Perfect for your festive winter menu, our Simply Christmas pudding flavour can be added to any drink to help you promote your winter menu!","547457_maindesc.txt",""
"537741","DART EPS Foam Cups & Lids","Maintain Beverages At Their Optimal Temperature Longer With Dart Insulated Foam Cups.","537741_maindesc.txt",""
"547509","Simply Lemon Syrup - 1 Litre","This refreshingly wonderful lemon syrup is your favourite addition to cocktails, flavoured sodas, Italian sodas, frozen beverages and desserts.","547509_maindesc.txt",""
"537095","Simply Syrup - Toasted Marshmallow  - 1 Ltr","One Of Our Top Festive Sellers...","537095_maindesc.txt",""
"540436","Galaxy Hot Chocolate Sachets x 100","Luxuriously Creamy And Indulgent Galaxy Hot Chocolate Is Perfect For Both Home And Catering Use. Packed In Handy 100 Packs Making The Ideal Choice For Galaxy Chocolate Lovers.","540436_maindesc.txt",""
"547417","SIMPLY Strawberry Fruit Puree - 1 Litre","SIMPLY Strawberry Fruit Purée adds sweet, juicy strawberry flavor and texture to cocktails, lemonades, iced teas and smoothies.","547417_maindesc.txt",""
"541090","PureGusto MAMA CATA - Great Taste Award - ESE Pods x 100","Mama Cata Is A Great Taste Award Winning Coffee That Has Been Designed To Bring Gourmet Coffee's To The Masses.","541090_maindesc.txt",""
"531672","PLA Biodegradable Smoothie Cups & Lids","Pla Clear Plastic Smoothie Cups - Natural Materials Make These Biodegradable Smoothie Cups Unique - With Domed Or Flat Lids There Perfect For Serving Cold Drinks To Even The Discerning Customer.","531672_maindesc.txt",""
"540084","Jura Impressa Z6 Coffee Machine","A World First: P.E.P. From Jura Pulse Extraction Process Produces The Perfect Espresso Creating Expert Quality Cappuccino And Latte Drinks Also","540084_maindesc.txt",""
"531606","Twinings Decaf Tea x 20","Twinings Traditionally English Decaf Tea In String And Tag - Available Individually Wrapped Or Loose","531606_maindesc.txt",""
"534833","Jura JX8 Platinum Coffee Machine","The JURA JX8 is incredibly versatile: it can prepare the full range of speciality coffees finished with milk and milk foam as well as black coffees and the classic pot of coffee.","534833_maindesc.txt",""
"548782","PureGusto Mason Jars With Handles x 4 Set","PureGusto Mason Jars & Lids With Handles 4 Pack - High Quality Jars Including Plastic Colour Coded Straw With Each - Perfect for Smoothies, Shakes, Frappes & More","548782_maindesc.txt",""
"548783","PureGusto Biodegradable Paper Straws 8 Inch x 500","7 Different Colour Options Now Available! - PureGusto Paper straws are the perfect eco friendly alternative to plastic straws - made using food safe biodegradable paper. Amongst the highest quality seen in the market.","548783_maindesc.txt",""
"549074","Macap MXA Automatic Coffee Grinder","With high hourly capacities  they will easily keep up with the busiest barista, A real workhorse of a grinder! The big advantage with these machines is that ground coffee is always ready to dispense.","549074_maindesc.txt",""
"549075","Macap M2D Mini On Demand Coffee Grinder","Simply outstanding for the price. A really great, on-demand, grinder that gives the small coffee shop or home-user the real advantage of high quality on demand output with zero waste.","549075_maindesc.txt",""
